index,name,cluster,count
0,B-5-B,4,129
1,B-6-B,1,2261
2,B-26-B,2,54
3,C-5-E,3,53
4,C-6-A,1,88
5,C-6-B,1,625
6,C-6-C,1,23
7,C-9-B,2,14
8,D-9-A,1,279
9,D-9-H,3,7
10,D-9-J,2,27
11,D-9-M,2,7
12,E-91-QV,7,13
13,F-4-B,4,72
14,G-1-A,3,50
15,G-1-E,3,15
16,G-1-H,3,75
17,G-1-K,2,70
18,G-1-M,2,9
19,G-1-T,2,32
20,G-2-Z,1,6
21,G-34-A,1,112
22,G-34-E,3,24
23,G-34-H,3,34
24,G-34-K,2,10
25,G-34-N,4,128
26,G-34-S,4,18
27,G-34-T,4,64
28,G-34-U,4,33
29,G-34-V,4,10
30,G-34-W,4,122
31,G-34-Y,4,55
32,G-34-Z,4,26
33,H-1-A,1,6
34,H-1-M,2,8
35,I-5-B,1,28
36,I-6-B,1,22
37,I-25-B,1,98
38,I-26-B,2,24
39,J-11-A,5,94
40,K-9-O,2,8
41,K-9-OA,2,4
42,K-9-Q,2,8
43,K-9-T,2,75
44,K-9-TA,2,12
45,K-9-Z,4,57
46,K-9-ZE,4,12
47,K-19-A,1,5
48,K-29-A,1,7
49,K-39-A,1,8
50,K-49-A,1,17
51,K-59-A,1,6
52,K-69-A,1,32
53,L-12-T,4,265
54,L-21-A,1,12
55,L-21-C,1,173
56,L-21-E,3,128
57,M-5-B,1,57
58,M-6-B,1,432
59,M-7-B,2,295
60,M-9-B,2,247
61,M-25-B,1,12
62,M-26-B,2,44
63,O-9-B,2,28
64,P-9-A,1,273
65,P-9-D,1,9
66,P-9-E,3,93
67,P-9-J,2,7
68,P-17-A,1,26
69,Q-11-A,5,32
70,Q-11-B,5,7
71,Q-11-K,5,25
72,R-18-B,3,30
73,S-1-A,1,358
74,S-1-E,3,262
75,S-1-H,3,83
76,S-1-K,2,365
77,S-1-L,2,92
78,S-1-M,2,116
79,S-2-K,2,31
80,S-3-A,1,472
81,S-3-E,3,535
82,S-3-H,1,568
83,S-3-M,2,16
84,S-3-T,4,1844
85,S-4-D,1,167
86,S-4-E,3,29
87,S-4-H,3,698
88,S-4-K,2,176
89,S-4-M,2,114
90,S-4-P,4,57
91,S-4-T,4,953
92,S-4-W,4,737
93,S-4-X,4,159
94,S-4-Y,4,668
95,S-4-Z,4,172
96,S-5-B,1,138
97,S-8-P,4,112
98,S-15-B,1,961
99,T-9-L,2,2
100,T-9-M,2,49
101,T-9-O,2,2
102,T-9-Q,2,92
103,T-9-QA,2,18
104,T-10-A,1,34
105,T-19-A,1,24
106,TB-9-AK,2,175
107,U-11-A,5,68
108,W-22-B,1,7
109,W-22-BV,6,6
110,Y-5-A,1,5
111,Y-6-A,1,89
112,Y-26-A,1,8
